Project,Client,Title,Duration
SOS1920-Sept,,#1 Dar estilo al front end,07:21:08
SOS1920-Sept,,Comprobar puntos del backlog,00:18:59
SOS1920-Sept,,Estilos CSS,04:34:54
SOS1920-Sept,,Implementar busquedas en front end,12:39:08
SOS1920-Sept,,Integraciones,48:05:53
SOS1920-Sept,,Integraciones externas,142:15:11
SOS1920-Sept,,Mostrar codigos de estado en front end,11:55:44
SOS1920-Sept,,Paginación con limit y offset en front end,35:41:24
SOS1920-Sept,,Proyecto SOS: Verificar puntos del backlog,00:00:12
SOS1920-Sept,,Script de grafico Billboard,01:30:31
SOS1920-Sept,,Travis,29:10:29
SOS1920-Sept,,Visualizacion grafica: nube de puntos,22:38:43
SOS1920-Sept,,Visualización 2:Billboard,119:32:21
